model,rmse,mae,h
baseline_zero_mean,0.01348815431950398,0.01348815431950398,1
xgb_direct_return,0.016283995173875118,0.016283995173875118,1
baseline_zero_mean,0.014931248883496074,0.012343681525411926,5
xgb_direct_return,0.022352862196665498,0.018759084197857222,5
baseline_zero_mean,0.016370836627627377,0.012389554182663163,20
xgb_direct_return,0.021165270653694286,0.01750488953375197,20
