test,statistic,p_value
"Ljung-Box (ret, lag=20)",23.2778350478762,0.275359064506867
"Ljung-Box (ret^2, lag=20)",44.7008032047762,0.00121131123301776
ARCH LM (lags=12),27.9441073904947,0.00563714084216663
